Number One,Number Two,Their GCD,Time Spent (Milliseconds)
28141,5711,1,0.00218803299116
24356,11356,4,0.00145868866077
32517,6612,3,0.00145868866077
21629,12877,1,0.00182336082597
10937,8069,1,0.00145868866077
16257,8468,1,0.00145868866077
32031,1514,1,0.00109401649558
18301,1116,1,0.00109401649558
28957,21014,1,0.00182336082597
26176,16033,1,0.00109401649558
18867,4318,1,0.00145868866077
20299,7430,1,0.00145868866077
32471,5211,1,0.00145868866077
13664,13385,1,0.000729344330387
26556,8596,4,0.00109401649558
21330,1517,1,0.000729344330387
25988,11898,2,0.00145868866077
23673,4940,13,0.00109401649558
23078,3580,2,0.00145868866077
27523,19184,1,0.00145868866077
20281,19014,1,0.00109401649558
16319,788,1,0.00145868866077
12661,840,1,0.00109401649558
26674,5916,2,0.00109401649558
27464,25990,2,0.00109401649558
23171,8463,1,0.00145868866077
32412,8694,6,0.00145868866077
25788,16898,14,0.00109401649558
28709,27766,1,0.000729344330387
20887,8084,1,0.00145868866077
29032,4244,4,0.00109401649558
31658,26480,2,0.00145868866077
30858,1842,6,0.000729344330387
14160,9213,3,0.00109401649558
17643,6604,1,0.00109401649558
27506,4497,1,0.00145868866077
32508,29456,28,0.00109401649558
18351,9178,1,0.000729344330387
32596,20652,4,0.00145868866077
24190,1260,10,0.000729344330387
29577,15693,3,0.00109401649558
16395,14482,1,0.00109401649558
12424,12423,1,0.000364672165194
25289,9267,1,0.00145868866077
9075,5677,1,0.00291737732155
22163,20458,1,0.00218803299116
19348,3465,7,0.00328204948674
16139,14145,1,0.00328204948674
29282,9836,2,0.00328204948674
29540,13297,1,0.00401139381713
21087,12499,1,0.00145868866077
6402,948,6,0.00109401649558
12972,9112,4,0.00109401649558
30808,26900,4,0.00109401649558
15536,4157,1,0.00145868866077
25478,164,2,0.00109401649558
10075,1513,1,0.00145868866077
26878,26817,1,0.00109401649558
28972,9196,4,0.00145868866077
19084,495,1,0.00109401649558
21558,7130,2,0.00109401649558
25714,23260,2,0.00109401649558
10634,5061,1,0.00182336082597
14155,7925,5,0.00109401649558
15906,5291,11,0.000729344330387
22225,18400,25,0.00109401649558
16474,5441,1,0.00109401649558
30773,1859,1,0.00145868866077
27741,20888,7,0.00109401649558
30019,3986,1,0.00145868866077
22791,12376,1,0.00145868866077
22086,7202,2,0.000729344330387
29938,17219,1,0.00145868866077
18003,7108,1,0.00145868866077
31196,29425,11,0.00109401649558
24177,10428,3,0.00109401649558
23025,21271,1,0.00145868866077
29487,6649,1,0.00109401649558
9565,5848,1,0.00145868866077
13889,7128,1,0.00109401649558
23661,11590,1,0.00109401649558
23534,1914,2,0.00145868866077
17073,16852,1,0.00109401649558
20575,9953,1,0.00109401649558
23063,5092,1,0.00109401649558
30646,29429,1,0.00109401649558
29643,11028,3,0.00145868866077
29703,18613,1,0.00145868866077
6560,5125,205,0.000729344330387
30485,17814,1,0.00109401649558
32404,20318,2,0.00109401649558
24683,22497,1,0.00145868866077
17169,3881,1,0.00145868866077
28401,174,3,0.000729344330387
31932,12584,4,0.00109401649558
20805,15850,5,0.00109401649558
18127,10906,1,0.00109401649558
29124,22878,18,0.00109401649558
32055,11202,3,0.00109401649558
29981,15142,1,0.00109401649558
